Date,Predicted_Price
2025-08-03,114833.35476763174
2025-08-04,115383.48544116132
2025-08-05,118165.14471651241
2025-08-06,118222.02058401704
2025-08-07,117340.09137143753
2025-08-08,115899.48515932262
2025-08-09,117582.45919861086
2025-08-10,115920.89852941036
2025-08-11,114994.74309878796
2025-08-12,114573.47308637016
2025-08-13,115006.69980289787
2025-08-14,114405.30476049706
2025-08-15,113829.9155495353
2025-08-16,113796.74928279407
2025-08-17,114203.7391860988
2025-08-18,113903.27264668234
2025-08-19,113718.78613713197
2025-08-20,114073.58774442971
2025-08-21,114643.27034661174
2025-08-22,114271.89239952527
2025-08-23,113961.28304236103
2025-08-24,113956.8400398111
2025-08-25,114497.57518959977
2025-08-26,113669.93348982837
2025-08-27,113576.01901391055
2025-08-28,113792.428564718
2025-08-29,114365.20904023759
2025-08-30,113632.97640439775
2025-08-31,113451.13259819895
2025-09-01,113658.18059317488
2025-09-02,114030.58437112533
2025-09-03,113572.99586997367
2025-09-04,113553.73606534209
2025-09-05,113756.8981314823
2025-09-06,114372.30153972097
2025-09-07,113680.6877299454
2025-09-08,113672.33162423223
2025-09-09,113873.39447357133
2025-09-10,114060.25873677991
2025-09-11,113526.71119662095
2025-09-12,113443.62569022086
2025-09-13,113734.04452203587
2025-09-14,113450.04562509805
2025-09-15,113878.27226536162
2025-09-16,113776.80332639255
2025-09-17,113936.46608775109
2025-09-18,114054.33473338
2025-09-19,114447.5880141221
2025-09-20,114268.35973694734
2025-09-21,114553.09234072827
2025-09-22,113696.5439500548
2025-09-23,112204.93152518012
2025-09-24,112718.29533357173
2025-09-25,112765.43599824142
2025-09-26,114538.62201132253
2025-09-27,114991.68598694168
2025-09-28,114780.39200329036
2025-09-29,112852.50254362356
2025-09-30,114580.86450345628
2025-10-01,114697.61900165677
