Date,Predicted_Price
2025-07-12,119155.48452010844
2025-07-13,120081.0600776759
2025-07-14,121522.62978210389
2025-07-15,123051.0702695388
2025-07-16,123980.29668569325
2025-07-17,125137.98299543503
2025-07-18,126525.38040040465
2025-07-19,127506.66534344526
2025-07-20,128338.48419359537
2025-07-21,130035.61774085322
2025-07-22,132383.12687221795
2025-07-23,135213.91307248277
2025-07-24,138136.85577867882
2025-07-25,141016.50735421185
2025-07-26,143944.3378162338
2025-07-27,146913.44648984724
2025-07-28,150089.30004738335
2025-07-29,153295.51762125152
2025-07-30,156177.33025784584
2025-07-31,159464.26359676954
2025-08-01,162733.2721800389
2025-08-02,165792.50579260584
2025-08-03,169281.80167014274
2025-08-04,172941.19585702813
2025-08-05,176585.00561208528
2025-08-06,180209.68273746048
2025-08-07,183966.39989955284
2025-08-08,187761.03497781846
2025-08-09,191615.11718690436
2025-08-10,195652.37985160385
